Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Location,Latitude,Longitude,Found,Quality,Source,Overlay,Type,Date,Overlay Transparency
George Abunio,audio/JS2-F14-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/JS2/F14,"Side A: George Abunio w/ Paula Matili, Hiki To'o Abunio + John Baptiste Albunio
Side B: again 08/12/1982 lots of Kwaio. Language as given: Fijian + Examples of Kwaio",5,,-17.4575,-0.7215,,,,,speech,1982-11-05,
Charlie kelo,audio/JS2-F20-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/JS2/F20,"with Darrel. Language as given: Fijian, Wai, P.F. , English",5,,-17.4575,-0.7215,,,,,speech,1982-11-29,
Chanel Kuar,audio/JS2-F24-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/JS2/F24,Chanel Kuar. Language as given: P.F. (Pidgin Fijian?),5,,-17.4575,177.984807,,,,,speech,1983-10-05,
School Assembly - Singing.,audio/MG1-012-B2.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/MG1/012,"Samoan Teachers' Training College [Apia]( Just American modern songs - Dean Martin, etc. ). Language as given: English",5,,-13.831611,-171.76882,,,,,speech,1973-12-31,
Bantu Coastal_Bantu Batanga,audio/RB5-Bantu_Coastal_Batanga-STE001.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/RB5/Bantu_Coastal_Batanga,"Collectors listed as Roger Blench, Marieke Martin, Dan Duke. Language as given: Batanga",5,,2.2785,9.752,,,,,speech,2010-02-11,
Bantu Chamba_Daka,audio/RB5-Bantu_Chamba_Daka-STE000.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/RB5/Bantu_Chamba_Daka,Bantu Chamba_Daka. Language as given: Chamba,5,,8.2645,11.708,,,,,speech,2010-01-01,
"Italian Folk Ensemble - Multicultural Music Curriculum, Italy",audio/GAC1-07-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/GAC1/07,"Tape labelled ""Multucultural Music - Italy"". Box has contents listing: Side A: <p> I Musical Instruments : Aural Exercises <p>II Dances : La Vinca, Cicerenella, Tarantella<p>III Songs : 1. Doman l'e festa, 2. Bella ciao <p>Side B: Songs contd.<p> 3. L'Avvelenato, 4. Quando nasceste voi, 5. Il Grillo e la formica, 6. Tu scendi dalle stelle, 7. San Giusep, 8. Donna lombarda, 9. A'l chiante 'l gial, 10. Carol of the bagpipers. The songs on this recording were performed by the Italian Folk Ensemble for the primary school multicultural music curriculum circa 1981. Tape produced by Enterprise Recordings, 20 Morgala Drive, Holden Hill 5086. Phone 08 2661768. Language as given: Italian",5,,43.442,13.4385,,,,,speech,1981-01-01,
Appignano dialect - Quinzi/Falciani/Antolini,audio/LB3-tape1-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/LB3/tape1,"Dialect elicitation from the Carta dei dialetti italiani questionnaire, taken in Campbelltown (South Australia) from siblings Gino Quinzi, Maria Falciani and Clorinda Antolini, from Appignano del Tronto, province of Ascoli Piceno.

Side 1 40-141
Side 2 141-244

Numbers refer to the questionnaire. Language as given: Appignano dialect, southern Marchigiano",5,,43.442,13.4385,,,,,speech,1980-01-01,
Appignano dialect - Falciani/Antolini,audio/LB3-tape2-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/LB3/tape2,"Dialect elicitation from the Carta dei dialetti italiani questionnaire, taken in Campbelltown (South Australia) from siblingsMaria Falciani and Clorinda Antolini, from Appignano del Tronto, province of Ascoli Piceno.

Side 1 297-384, 4-28
Side 2 29-50, 285, 289-295, 65, 59, 235, 237, 272, 242, 279a, 173, 169, 280, 364, 245

Numbers refer to the questionnaire. Language as given: Appignano dialect, southern Marchigiano",5,,43.442,13.4385,,,,,speech,1980-01-01,
Castel di Lama dialect - Calvaresi (1),audio/LB3-tape3-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/LB3/tape3,"Dialect elicitation from the Carta dei dialetti italiani questionnaire, taken in Campbelltown (South Australia) from Massimo Calvaresi, from Castel di Lama, province of Ascoli Piceno.

Side A 4-54
Side B 55-157
Numbers refer to the questionnaire. Language as given: Castel di Lama dialect, southern Marchigiano",5,,43.442,13.4385,,,,,speech,1980-01-01,
Songs 2,audio/AH1-010-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/AH1/010,"Text on outer cassette cover: Songs 2 (tɕhimi 86) ; Copied 88 ; [Side A] 1-4 = Tsameli ; 5 = Ram Bahadur March 86 ; 6-9 Dame + Kaami March 86 ; [Side B] 1-4 Dame + Kaami ; 5 tɕeeŋa + Nama + Kantsi ; Nurpa-Kahŋ - March 86 ; 6 Peema + Asa Sarkini (चूलु+बाटा) ; Peema's solo ; 8 Urken no. 2 ; Text on inner cassette cover: [Side A]: 1.सिनाला(दावा-क्य०) ; 2.ओहराङगीमिज्यु(दावा-क्य०) ; 3.सेर्पुसेरकीठिलो(दावा-क्य०) ; 4.स्यारलेमिहज्यीजोम; 5.सेसेलेपुहम्बासे30 ; 6.येशूनामजपौंभाई- 45 ; 7.काहङटेथेम्बु(1) - 50 ; 8.काहङसुमचेलो(22) - 60 ; 9.स्यारकीडेन्न्याङ(३१) - 55 ; [Side B] 1.टाहम्ङयेनगोबु(१७) - 5 ; 2.सेम्बाछेरा(२०) - 10 ; 3.काहङदेथेम्बु(३) - 15 ; 4.रिहज्यीस्योङस्योङ(३) - 20 ; 5.क्हासेकोरायिङगोरले+बाटा- 40 ; 6.काहङदोयाहलासे- 50 ; 7.क्याह-युहलमेहबे- 55 ; 8.फिज्यीछ्येताङ- 60.

Side A: 1 song with acoustic guitar and female singer, 1 group female, 2 solo female, 1 male solo Nepali (about 14 minutes in), 2 male solo Side B: 1 male solo. Language as given:",5,,27.9235,85.629,,,,,music,2014-01-02,
Texts 2,audio/AH1-011-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/AH1/011,"Text on cassette cover: Helambu-Sherpa Texts 2 ; copied 88 ; [Side A] 1. Convers. Ts. M.'s ʈoomu ; 2. convers in ts house ; 3. The Tibetan + kyagar p. ; 4. the people died ; 5. naina - please ; 6. yaa tsuukyo ; 7. more small talk ; 8. kolgi kyekyop . piiru milimchi (Texts 3) ; 2. tɕhee-peʑya ; 3. boys' conversation ; 4. Let's meet brothers in K ; 5. The women in Mil. ; 1. Kyowa peke bele. [Side B] Sermuthaŋ ; three conversations of Texts 3. 29-49|0-15 ; Four ; Songs of Dawa and Mendo (nicely done) 15-40 (cf T.6.41-51) ; pu pinzgi petam ; (Dawa) 40-60 ; (cf Texts 1) ; Dawa + Mendo 60 - sing Sil-tu baʈa lu papkyo (T.6, no. 8).

Ambient noise indicates it's in people's houses, microphone not clearly on a single person. Short conversation fragments with no introduction to each segment. Side A: conversation between women, including AH. Side B: conversation women and children, 2 songs 13 minutes in.. Language as given:",5,,27.9235,85.629,,,,,music,2014-01-02,
"Egg curry recipe with Sita Lama, photo discussion and birds with speakers from Toljung and a discussion about 'sem' with Aiti Maya Lama.",audio/LG1-120307-02.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/LG1/120307,"LG1-120307-01; Sita: egg curry recipe; Notes in 2012, Book 4 p. 23. Sita explaining how to make the tasty egg curry she often cooks. The recipe is told once, and then repeated with discussion in Nepali, only the initial description is transcribed; 2012-03-07; Duration 00:04:25 |. Language as given: Lamjung Yolmo",5,,27.9235,85.629,,,,,speech,2012-03-07,
"Earthquake Interview: Accyo Lama, Kasi Lama, Nirmila Lama, Rijan Lama",audio/LG1-160520-02.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/LG1/160520,"LG1-160520-01Consent: Accyo Lama, Kasi Lama, Nirmila Lama, Rijan Lama. Oral consent recording for Accyo Lama, Kasi Lama, Nirmila Lama, Rijan Lama. Funding for this recording came from the Endangered Languages Documentation Project Grant #0388. |
LG1-160520-02Earthquake Interview: Accyo Lama, Kasi Lama, Nirmila Lama, Rijan Lama. Accyo Lama, Kasi Lama, Nirmila Lama and Rijan Lama discuss the 2015 earthquakes in Nepal. Funding for this recording came from the Endangered Languages Documentation Project Grant #0388.. Language as given:",5,,27.9235,85.629,,,,,music,2016-05-20,
Elicitation: evidentials,audio/SUY1-140125-02.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/SUY1/140125,"SUY1-140125-01 ; Elicitation: Evidentials and verbs ; Elicitation ; Pasang Maya Lama ; location: Phedi ; Questions asked are in 2014 book 1 pp 10-13. Funding for this recording came from the Firebird Foundation. ; Recorded on a ZoomH4n with the internal microphone. |
SUY1-140125-02 ; Life in the villages ; Narrative Historical ; Sangmu Tamang ; location: Phedi ; File name originally SUY1-20140125-1YulPediDuragaun. Sangmu Lama discusses life when she was younger. Transcribed and translated into Nepali by Sangbu Tamang using his own preferred orthography in both Syuba and Nepali. Funding for this recording came from the Firebird Foundation. Funding for transcription came from ELDP. ; Recorded on a HTC Desire 210 using internal mic and the Aikuma language documentation app.|
SUY1-140125-03 ; Life in the villages pt 2 ; Narrative Historical ; Sangmu Tamang ; location: Phedi ; File name originallySUY1-20140125-2SangbuTam. Continuation of Sangmu Lama discusses life when she was younger.Transcribed and translated into Nepali by Sangbu Tamang using his own preferred orthography in both Syuba and Nepali. Funding for this recording came from the Firebird Foundation. Funding for transcription came from ELDP. ; Recorded on a HTC Desire 210 using internal mic and the Aikuma language documentation app.|
SUY1-140125-04 ; Working story ; Narrative Personal ; Pasang Maya Lama ; location: Phedi ; File name originallySUY1-20140125-3PasangMaya. Pasang Maya Lama talking about her work as a health volunteer in the Syuba villages. Transcribed and translated into Nepali by Sangbu Tamang using his own preferred orthography in both Syuba and Nepali. Funding for this recording came from the Firebird Foundation. Funding for transcription came from ELDP. ; Recorded on a HTC Desire 210 using internal mic and the Aikuma language documentation app.|
SUY1-140125-05 ; Working story (Nepali translations) ; Translation ; Pasang Maya Lama ; location: Phedi ; SUY1-20140125-4NepaliTranslation.mp3 an oral translation of SUY1-140125-04 into Nepali by Pasang Maya Lama in the BOLD methodology. Funding for this recording came from the Firebird Foundation. ; Recorded on a HTC Desire 210 using internal mic and the Aikuma language documentation app.|. Language as given:",5,,27.45,86.1675,,,,,music,2015-01-25,
"Earthquake interview: Ningmar, Starting College: Arati",audio/SUY1-160417-02.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/SUY1/160417,"SUY1-160417-01 ; Consent: Ningmar Tamang ; Consent ; Ningmar Tamang ; location: Makalbari ; Oral consent recording for Ningmar Tamang. Funding for this recording came from ELDP. ; Recorded on a ZoomH4n with an Audio-Technica AT8022 stereo microphone.|
SUY1-160417-02 ; Earthquake Interview: Ningmar Tamang ; Narrative Earthquake ; Ningmar Tamang ; location: Makalbari ; Ningmar Tamang talks about the earthquake in April 2015 and the aftermath. Funding for this recording came from ELDP. ; Recorded on a ZoomH4n with an Audio-Technica AT8022 stereo microphone and a Panasonic HC-V720 video camera with a Rode Pro shotgun mic.|
SUY1-160417-03 ; Consent: Arati Tamang ; Consent ; Sangbu Tamang ; location: Makalbari ; Oral Consent recording for Arati Tamang. Funding for this recording came from ELDP. ; Recorded on a ZoomH4n with an Audio-Technica AT8022 stereo microphone.|
SUY1-160417-04 ; Narrative: Starting college; Narrative Personal ; Arati Tamang ; location: Makalbari ; Arati Tamang talks about starting college. Funding for this recording came from ELDP. ; Recorded on a ZoomH4n with an Audio-Technica AT8022 stereo microphone and a Panasonic HC-V720 video camera with a Rode Pro shotgun mic.|. Language as given:",5,,27.45,86.1675,,,,,music,2016-04-17,
Ilam Yolmo - oral histories and attitudes,audio/SUY1-160507-02.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/SUY1/160507,"SUY1-160507-01 ; Consent: Namsaling group ; Consent ; Ram Bahadur Yolmo, Pema Lama, Prem, YolmoYam Bahadur, Ombal Yolmo, Lapsang Yolmo ; location: Tin Khutte ; Oral Consent recording for Ram Bahadur Yolmo, Pema Lama, Prem Yolmo, Yam Bahadur, Ombal Yolmo, Lapsang Yolmo. Funding for this recording came from ELDP. ; Recorded on a ZoomH4n with an Audio-Technica AT8022 stereo microphone.|
SUY1-160507-02 ; Life story: Pasang Yolmo ; Conversation ; Ram Bahadur Yolmo, Pema Lama, Prem Yolmo, Yam Bahadur Yolmo, Ombal Yolmo, Lapsang Yolmo ; location: Tin Khutte ; Lapsang interviews Ram Bahadur (Pasang) Yolmo about his life, with input from the others present. There is a gap in the video for this recording due to an SD card issue. Funding for this recording came from ELDP. ; Recorded on a ZoomH4n with an Audio-Technica AT8022 stereo microphone and a Panasonic HC-V720 video camera with a Rode Pro shotgun mic.|
SUY1-160507-03 ; Discussion with Namsaling group ; Conversation ; Ram Bahadur Yolmo, Pema Lama, Prem Yolmo, Yam Bahadur Yolmo, Ombal Yolmo, Lapsang Yolmo ; location: Tin Khutte ; A discussion Lauren had with Ram Bahadur Yolmo, Pema Lama, Prem Yolmo, Yam Bahadur Yolmo, Ombal Yolmo, Lapsang Yolmo. Starts in Nepali talking about the different subgroups of Yolmo and moves into Ombal Yolmo discussing the nature of Yolmo versus Kagate. Funding for this recording came from ELDP. ; Recorded on a ZoomH4n with an Audio-Technica AT8022 stereo microphone and a Panasonic HC-V720 video camera with a Rode Pro shotgun mic.|. Language as given: Yolmo",5,,27.45,86.1675,,,,,speech,2016-05-07,
Gecik Tue Mongal,audio/DE1-009-A.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/DE1/009,Gecik Tue Mongal. Language as given: Gayo,5,,4.4395,97.3455,,,,,music,1998-05-04,
MCD's animal stories from Bangka,audio/OS1-002-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/OS1/002,"Like so many tapes of this kind it sort of rambles along, but by the time (on side one) you get to a discussion of disposable lighters (!) -- about two thirds of the way into side one -- the interesting stuff is over (no further archiving need).The particulars of the man who tells the stories: his name was Tedong (or, possibly, Cedong -- I am not quite certain; I code-named him MCD on the back of the tape cassette, for 'aMang [uncle] CeDong)) - no last name (the Lom don't see the reason for them). He was, in all likelihood, in his early to mid sixties when the recording took place in 1984, which would give a year of birth in the early 1920s. (I calculated this from his experiences during the Japanese occupation during WW II.) He was a wiry, fun, agile little man with great stamina. He had a reputation for being an accomplished cultivator with big swiddens he cleared himself and was considered by many to be the best informed on Lom lore. He was a pure Lom, illiterate; he had never been to school. To the best of my knowledge his parents were also Lom.Unfortunately, when I visited the Lom briefly in 1988 (just for a week) he was dead. He had, I was told, fallen from a tree the year before and hurt himself fatally, drawing his last breath a couple of days later.See below for details. --Details: Story 1 (Clever Mousedeer): 0-243 on tape counter (12 min.) --Story 2 (Mousedeer is Eaten): 243-317 on counter (approx. 9 min) --Story 3 (When the Dog Ate the Mousedeer): 318-356 (approx. 3 min.). Language as given: Lom",5,,-1.7335,105.8975,,,,,music,1984-05-29,
Shanghai Ancient Music Ensemble 1,audio/AM5-001-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/AM5/001,"Recording of the Shanghai Ancient Music Ensemble performing concert of reconstructions of Tang Music based on the work of Chen Ying Shi, Allan Marett, Lawrence Picken, Rembrandt Wolpert et al, (cassette 1). Language as given:",5,,36.128,106.277,,,,,speech,1987-05-15,
Tarawangsa Cibalong,audio/CF1-005-IB.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/CF1/005,Series 5.II / 77. Side B = ~21 mins. Lagu ; Item contains instrumental music.. Language as given:,5,,-6.943,107.106,,,,,music,1977-01-01,
Pak Nongeng tells about the history of the Salako people,audio/AA1-005-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/AA1/005,Pak Nongeng tells about the history of the Salako people. Language as given: Selako,5,,0.519,109.5895,,,,,music,1987-11-14,
Last part story 'Piang Ambung' (= Rice myth story told by Pauma's father) + ? story by Pak Lowe,audio/AA2-009-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/AA2/009,"First part of rice myth story (""Piang Ambung"") is on AA2-004. Language as given: Embaloh",5,,0.975,112.7225,,,,,speech,1989-01-20,
Week Eight,audio/FM1-20070501-02ADAC.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/FM1/20070501,Week Eight. Language as given: Banjar,5,,-2.345,114.1235,,,,,music,2007-05-01,
Lombok,audio/DG1-LOM027307-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/DG1/LOM027307,"(Style for items 1-6: Gamelan Klenang. Group for items 1-6: Kembang Mas) Title of Item: Gendengs Pempukaan- Tabuh Gong.Title of Item: Gending Dalem.Title of Item: Bebaosan.Title of Item: Asmarandana.Title of Item: Closing Song (no break).Title of Item: Tunings of instruments.SIDE B (Style for items 7-8: Gendang Belik. Title of Item: Tawaka.Title of Item: Rangsaran.
. Language as given: Sasak",5,,-8.587,116.3005,,,,,speech,1973-02-01,
KQR folktales,audio/PK1-024-02.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/PK1/024,"PK1-024-01.wav Mapun Sikulan, folk tale: Raja Tambangon om Raja Ponguda; PK1-024-02.wav Inalus, folk tale: Riyagon; PK1-024-03.wav Pananga, folk tale: Solumpa om Galabi; PK1-024-04.wav Sapaun Adun, origin myth: Tinanggo (rock formation). Language as given: Kimaragang",5,,6.5495,117.0195,,,,,music,1985-06-04,
"Komedya 'Kabibiag ni Floramante',rehearsal at Luna 13-2-93",audio/LB1-AT9301-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/LB1/AT9301,This is a parallel recording with the video tapes LB1-VT9301 and LB1-VT9302. Relevant field notes on pages 70-72 of Linda Barwick's 1993 field notebook (LB1-93NOT); Item contains instrumental music.. Language as given: Ilocano,5,,17.0865,120.9935,,,,,speech,1993-02-13,
"Komedya 'Kabibiag ni Floramante' at Vigan (Ilocos Sur) 29-4-95, Burgos group",audio/LB1-AT9501-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/LB1/AT9501,"Komedya ""Kabibiag ni Floramante"". This is the same performance group from Luna Barangay of Burgos (Ilocos Sur) recorded in the 1993 series of this collection. They were performing for a festival at Vigan along with some other groups. Parallel video recording on LB1-VT9503; Item contains instrumental music.. Language as given: Ilocano",5,,17.0865,120.9935,,,,,speech,1995-04-29,
2,audio/AW2-002-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/AW2/002,PLEASE PROVIDE DESCRIPTION. Language as given: Sabu,5,,-10.1375,121.1195,,,,,speech,,
[Title to be supplied],audio/AW2-018-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/AW2/018,[No description available.] [Date is approximate]. Language as given: Sabu,5,,-10.1375,121.1195,,,,,speech,1975-12-31,
"Sentences, Malaweg",audio/LR1-112606-02.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/LR1/112606,"Recorded in Santa Ana, Cagayan of speaker from Bural, Rizal, Cagayan.Malaweg is actually a different language than Itawit, but has no separate Ethnologue code. . Language as given: Malaweg",5,,17.727,121.5795,,,,,speech,2006-11-26,
Sentences & Stories,audio/LR1-070706-02.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/LR1/070706,"Sentences & Stories. Language as given: Agta, Dupaninan",5,,17.841,122.188,,,,,music,2006-07-07,
Stories,audio/LR1-111506-02.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/LR1/111506,"Recorded in Dumasag, Limbus,Santa Ana, Cagayan of speaker from Apulagan, Santa Ana, Cagayan. . Language as given: Agta, Dupaningan",5,,17.841,122.188,,,,,music,2006-11-15,
Seed preservation demonstration,audio/GH3-abz_20160706_seeds_demo-02.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/GH3/abz_20160706_seeds_demo,Demonstration of the use of bamboo storage containers for seed preservation. With Bernadus Mabilaka and his son.. Language as given:,5,,-8.294,124.588,,,,,speech,2016-07-06,
Merranunggu 10/08/93 (2),audio/IG6-005-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/IG6/005,"Speakers: Nancy Dayi
Content: SIDE A: intransitive verbs (get up, tired); transitive verbs (tip it out into something); adjective-type phrases (I'm tired/hungry, he's fat/getting fat); pronouns; possession (with meat and tobacco) | SIDE B: possession (with meat); independent pronouns; kinship terms (mother, sister, father, uncle); kinship terms with possession (my, our (us two); his; your)
Location:
Created: 10/8/93 and 12/8/93
Name on tape: Makmak #2 10/8/93 and 12/8/93 | Side A: MAKMAK #2 (recorded 10/8/93 and 12/8/93) | Side B: MAKMAK #2 (recorded 12/8/93)
Corresponds to field notes:IG6-N01. Language as given:",5,,-13.6535,130.12,,,,,speech,1993-08-10,
Matngele 05/07/91 (2),audio/IG9-006-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/IG9/006,"Speakers: Edwin Purrel (Researchers: Mark Harvey and Ian Green)
Content:
Location: Woolianna
Created: 05/07/91
Name on tape: Dakayu 5/7/91
Corresponds to field notes: IG9-N03. Language as given:",5,,-13.9405,130.6005,,,,,music,1991-07-05,
Batjamalh 01/11/90,audio/IG5-003-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/IG5/003,"Speakers: Agnes Lippo (Batjamalh) Theodora Narndu and Majella Chula (Wadeye)
Content: wordlists in Batjamalh and Murrinhpatha
Location: Darwin (Batjamalh) and Wadeye (Murrinhpatha)
Created: 01/11/90, 06/11/90 (Murrinhpatha) 10/11/90 (Batjamalh)
Name on tape: Bajjamal wordlist 10/11/90.SIDE A: (66) MURRINH-PATHA Theodora Narndu WADEYE 1/11/90 || SIDE B: (68) MURRINH-PATHA -Magella Chula | (70) BAJJAMAL Agnes Lippo
Corresponds to field notes: none known. Language as given:",5,,-12.874,130.737,,,,,speech,1990-11-01,
Session 29,audio/EAG1-S29-wad20120922IMKfs.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/EAG1/S29,"Participants: EAG, IMK; Contents: wordlist with (near) minimal pairs, some verb paradigms, examples of stress in various positions, frog story, free elicitation (some adjectives, questions, negation, possession, etc); Length: 1:22:48, 1:25:46, 0:11:48; Loc: Ibu's house; has .eaf; Notes: wad20120922IMKa.wav was recorded using a head-mounted mic - the quality is good, background noise is minimal, spectrographs are clear. wad20120922IMKb.wav was recorded with the Zoom H2 as usual, with all the attendant noise, though less wind than usual. The H2 was turned on partway through the wordlist, and left on a few minutes longer than the head mic. Final file is the excerpted frog story as recorded by head mic.. Language as given:",5,,-2.321,133.9955,,,,,speech,2012-09-22,
Gun-nartpa/Burarra digitised tape recording and log,audio/MLC1-T42-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/MLC1/T42,song; multiparty conversation; ceremony; joking; transcribe. Language as given: Gunnartpa; bunggul,5,,-12.27,134.3705,,,,,music,1994-04-23,
Field tape 7.1,audio/RN1-007001-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/RN1/007001,"Tape 10/97-1. A) MG. Words 1, Words 2. MG and JH dialogue. Bowerman's book. B) Bowerman's book. List of words, MG, JH. 3, 4, 5. Frog story (Chloe, Molly and Ivy).. Language as given: Wambaya",5,,-17.4,135.6825,,,,,speech,1997-10-01,
